school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian,traveltime,studytime,failures,schoolsup,famsup,paid,activities,nursery,higher,internet,romantic,famrel,freetime,goout,Dalc,Walc,health,absences,midtermexam,finalexam,finalgrade
GP,F,18,Urban,>3,Apart,4. S1,4. S1,at_home,teacher,course,mother,2. 15 - 30 mins,2. 2 - 5 hours,0,yes,no,no,no,yes,yes,no,no,4. good,3. normal,4. high,1. very low,1. very low,3. normal,6,5,6,6
GP,F,17,Urban,>3,Together,1. SD,1. SD,at_home,other,course,father,1. <15 min,2. 2 - 5 hours,0,no,yes,no,no,no,yes,yes,no,5. very good,3. normal,3. normal,1. very low,1. very low,3. normal,4,5,5,6
GP,F,15,Urban,<=3,Together,1. SD,1. SD,at_home,other,other,mother,1. <15 min,2. 2 - 5 hours,3,yes,no,yes,no,yes,yes,yes,no,4. good,3. normal,2. low,2. low,3. normal,3. normal,10,7,8,10
GP,F,15,Urban,>3,Together,4. S1,2. SMP,health,services,distance,mother,1. <15 min,3. 5 - 10 hours,0,no,yes,yes,yes,yes,yes,yes,yes,3. normal,2. low,2. low,1. very low,1. very low,5. very good,2,15,14,15
GP,F,16,Urban,>3,Together,3. SMA,3. SMA,other,other,distance,father,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,no,yes,yes,no,no,4. good,3. normal,2. low,1. very low,2. low,5. very good,4,6,10,10
GP,M,16,Urban,<=3,Together,4. S1,3. SMA,services,other,reputation,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5. very good,4. high,2. low,1. very low,2. low,5. very good,10,15,15,15
GP,M,16,Urban,<=3,Together,2. SMP,2. SMP,other,other,distance,mother,1. <15 min,2. 2 - 5 hours,0,no,no,no,no,yes,yes,yes,no,4. good,4. high,4. high,1. very low,1. very low,3. normal,0,12,12,11
GP,F,17,Urban,>3,Apart,4. S1,4. S1,other,teacher,distance,mother,2. 15 - 30 mins,2. 2 - 5 hours,0,yes,yes,no,no,yes,yes,no,no,4. good,1. very low,4. high,1. very low,1. very low,1. very bad,6,6,5,6
GP,M,15,Urban,<=3,Apart,3. SMA,2. SMP,services,other,distance,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,no,yes,yes,yes,no,4. good,2. low,2. low,1. very low,1. very low,1. very bad,0,16,18,19
GP,M,15,Urban,>3,Together,3. SMA,4. S1,other,other,distance,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,yes,yes,yes,yes,no,5. very good,5. very high,1. very low,1. very low,1. very low,5. very good,0,14,15,15
GP,F,15,Urban,>3,Together,4. S1,4. S1,teacher,health,reputation,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,no,yes,yes,yes,no,3. normal,3. normal,3. normal,1. very low,2. low,2. bad,0,10,8,9
GP,F,15,Urban,>3,Together,2. SMP,1. SD,services,other,reputation,father,3. 30 mins - 1 hour,3. 5 - 10 hours,0,no,yes,no,yes,yes,yes,yes,no,5. very good,2. low,2. low,1. very low,1. very low,4. good,4,10,12,12
GP,M,15,Urban,<=3,Together,4. S1,4. S1,health,services,course,father,1. <15 min,1. <2 hours,0,no,yes,yes,yes,yes,yes,yes,no,4. good,3. normal,3. normal,1. very low,3. normal,5. very good,2,14,14,14
GP,M,15,Urban,>3,Together,4. S1,3. SMA,teacher,other,course,mother,2. 15 - 30 mins,2. 2 - 5 hours,0,no,yes,yes,no,yes,yes,yes,no,5. very good,4. high,3. normal,1. very low,2. low,3. normal,2,10,10,11
GP,M,15,Urban,>3,Apart,2. SMP,2. SMP,other,other,distance,other,1. <15 min,3. 5 - 10 hours,0,no,yes,no,no,yes,yes,yes,yes,4. good,5. very high,2. low,1. very low,1. very low,3. normal,0,14,16,16
GP,F,16,Urban,>3,Together,4. S1,4. S1,health,other,distance,mother,1. <15 min,1. <2 hours,0,no,yes,no,no,yes,yes,yes,no,4. good,4. high,4. high,1. very low,2. low,2. bad,4,14,14,14
GP,F,16,Urban,>3,Together,4. S1,4. S1,services,services,reputation,mother,1. <15 min,3. 5 - 10 hours,0,no,yes,yes,yes,yes,yes,yes,no,3. normal,2. low,3. normal,1. very low,2. low,2. bad,6,13,14,14
GP,F,16,Urban,>3,Together,3. SMA,3. SMA,other,other,reputation,mother,3. 30 mins - 1 hour,2. 2 - 5 hours,0,yes,yes,no,yes,yes,yes,no,no,5. very good,3. normal,2. low,1. very low,1. very low,4. good,4,8,10,10
GP,M,17,Urban,>3,Together,3. SMA,2. SMP,services,services,course,mother,1. <15 min,1. <2 hours,3,no,yes,no,yes,yes,yes,yes,no,5. very good,5. very high,5. very high,2. low,4. high,5. very good,16,6,5,5
GP,M,16,Urban,<=3,Together,4. S1,3. SMA,health,other,distance,father,1. <15 min,1. <2 hours,0,no,no,yes,yes,yes,yes,yes,no,3. normal,1. very low,3. normal,1. very low,3. normal,5. very good,4,8,10,10
GP,M,15,Urban,>3,Together,4. S1,3. SMA,teacher,other,reputation,mother,1. <15 min,2. 2 - 5 hours,0,no,no,no,no,yes,yes,yes,no,4. good,4. high,1. very low,1. very low,1. very low,1. very bad,0,13,14,15
GP,M,15,Urban,>3,Together,4. S1,4. S1,health,health,other,father,1. <15 min,1. <2 hours,0,no,yes,yes,no,yes,yes,yes,no,5. very good,4. high,2. low,1. very low,1. very low,5. very good,0,12,15,15
GP,M,16,Urban,<=3,Together,4. S1,2. SMP,teacher,other,course,mother,1. <15 min,2. 2 - 5 hours,0,no,no,no,yes,yes,yes,yes,no,4. good,5. very high,1. very low,1. very low,3. normal,5. very good,2,15,15,16
GP,M,16,Urban,<=3,Together,2. SMP,2. SMP,other,other,reputation,mother,2. 15 - 30 mins,2. 2 - 5 hours,0,no,yes,no,yes,yes,yes,yes,no,5. very good,4. high,4. high,2. low,4. high,5. very good,0,13,13,12
GP,F,15,Rural,>3,Together,2. SMP,4. S1,services,health,course,mother,1. <15 min,3. 5 - 10 hours,0,yes,yes,yes,yes,yes,yes,yes,no,4. good,3. normal,2. low,1. very low,1. very low,5. very good,2,10,9,8
GP,F,16,Urban,>3,Together,2. SMP,2. SMP,services,services,distance,mother,1. <15 min,1. <2 hours,2,no,yes,yes,no,no,yes,yes,no,1. very bad,2. low,2. low,1. very low,3. normal,5. very good,14,6,9,8
GP,M,15,Urban,>3,Together,2. SMP,2. SMP,other,other,distance,mother,1. <15 min,1. <2 hours,0,no,yes,yes,no,yes,yes,yes,no,4. good,2. low,2. low,1. very low,2. low,5. very good,2,12,12,11
GP,M,15,Urban,>3,Together,4. S1,2. SMP,health,services,other,mother,1. <15 min,1. <2 hours,0,no,no,yes,no,yes,yes,yes,no,2. bad,2. low,4. high,2. low,4. high,1. very bad,4,15,16,15
GP,M,16,Urban,<=3,Apart,3. SMA,4. S1,services,other,distance,mother,1. <15 min,2. 2 - 5 hours,0,yes,yes,no,yes,yes,yes,yes,no,5. very good,3. normal,3. normal,1. very low,1. very low,5. very good,4,11,11,11
GP,M,16,Urban,>3,Together,4. S1,4. S1,teacher,teacher,distance,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,yes,yes,yes,yes,yes,4. good,4. high,5. very high,5. very high,5. very high,5. very good,16,10,12,11
GP,M,15,Urban,>3,Together,4. S1,4. S1,health,services,distance,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,yes,no,no,yes,yes,no,5. very good,4. high,2. low,3. normal,4. high,5. very good,0,9,11,12
GP,M,15,Urban,>3,Together,4. S1,4. S1,services,services,reputation,mother,2. 15 - 30 mins,2. 2 - 5 hours,0,no,yes,no,yes,yes,yes,yes,no,4. good,3. normal,1. very low,1. very low,1. very low,5. very good,0,17,16,17
GP,M,15,Rural,>3,Together,4. S1,3. SMA,teacher,at_home,course,mother,1. <15 min,2. 2 - 5 hours,0,no,yes,no,yes,yes,yes,yes,yes,4. good,5. very high,2. low,1. very low,1. very low,5. very good,0,17,16,16
